,GEOID,State Name,County Name,Year,TOTALPOP,TOTALHHOLD,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QSNGPKIDS,QFHH,QFEMLBR,QED12LES,QRICH200K,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QRENTER,PPUNIT,QMOHO,QNOAUTO,QHSEBRDN,QUNINSUR,QESL,QPOVTY,QDISABLE,QUNOCCHU,MDGRENT,MDHSEVAL,SoVI_Score,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
60132,47001020100,Tennessee,Anderson ,2019,3196,1510,0.2369,0.5332,34.6,0.1974,0.0025,0.0491,0.0391,0.4844,0.5156,0.1523,0.5039,0.0696,0.0113,0.2583,26962.0,0.0317,0.2866,0.0,0.7364,2.11,0.0,0.1199,0.2662,0.1036,0.0265,0.1959,0.1665,0.1639,796,163200,0.5887774267064156,0.7560805573901238,-0.2869750233819211,0.2190011134001601,-0.6359211172825285,0.5365918965805814
60133,47001020201,Tennessee,Anderson ,2019,4080,1712,0.2341,0.5194,44.9,0.0358,0.0017,0.102,0.0184,0.8127,0.1873,0.0812,0.4761,0.0274,0.1419,0.3014,49868.0,0.0185,0.0984,0.0,0.3382,2.32,0.0037,0.0152,0.1005,0.0483,0.0457,0.0468,0.0816,0.0985,970,276000,-2.29711436941731,-0.5735595224651064,0.3314352582841269,0.20335274200536707,-2.2544116321740435,-0.003931215067654024
60134,47001020202,Tennessee,Anderson ,2019,3973,1731,0.3053,0.5303,47.0,0.0206,0,0.0297,0.0667,0.946,0.054,0.0485,0.4203,0.0903,0.1023,0.4067,47686.0,0.0442,0.073,0.0,0.357,2.24,0.0,0.1138,0.1837,0.0935,0.0298,0.1822,0.206,0.1654,1007,194200,-0.07048440242560439,0.22393750654245004,1.6541591708243535,0.3790503921715974,-1.8475912161965218,-0.48004025576748366
60135,47001020300,Tennessee,Anderson ,2019,3851,1486,0.2153,0.489,33.7,0.0299,0.0112,0.0,0.0691,0.5175,0.4825,0.183,0.4619,0.0904,0.0114,0.3567,25295.0,0.0112,0.1841,0.0034,0.2537,2.59,0.0153,0.0619,0.0821,0.1231,0.0392,0.0777,0.1641,0.1557,922,107500,-0.006121503065350448,-0.5129414520681003,-0.42672813906228696,0.2697134958926945,0.5045253487155436,0.15930924345679862
60136,47001020400,Tennessee,Anderson ,2019,4275,1877,0.2653,0.4784,40.6,0.014,0.0119,0.015,0.0538,0.389,0.611,0.17,0.4428,0.1118,0.0176,0.4401,21057.0,0.1402,0.2412,0.0,0.3799,2.24,0.0262,0.0554,0.2706,0.1431,0.0714,0.3348,0.2769,0.1793,631,109900,2.1953731219012407,1.0976157259178392,1.0248372007597073,0.6300902006683847,-0.14679474168953113,-0.4103752637551591
60137,47001020500,Tennessee,Anderson ,2019,3655,1434,0.1934,0.5209,36.8,0.1464,0.0096,0.0104,0.0785,0.4047,0.5953,0.304,0.5421,0.1707,0.0,0.3347,19769.0,0.0754,0.2485,0.0,0.4909,2.51,0.0,0.0579,0.1562,0.185,0.0543,0.2792,0.2539,0.1796,758,103800,2.90004757842639,0.5707322744151836,-0.007428375446555711,0.7128810684238699,0.7562918370213061,0.867570774012586
60138,47001020600,Tennessee,Anderson ,2019,2540,917,0.2689,0.5276,41.8,0.0839,0,0.0083,0.1059,0.6088,0.3912,0.1287,0.4922,0.0497,0.0589,0.434,32007.0,0.052,0.1976,0.0,0.1843,2.77,0.0059,0.0109,0.0971,0.0636,0.0,0.0791,0.1782,0.1019,881,157100,1.0797192718585782,-0.6819999836407462,0.6998740209398154,0.16837252972254282,-0.12257427840966581,1.016046983246632
60139,47001020700,Tennessee,Anderson ,2019,1575,571,0.2051,0.4927,44.8,0.0,0,0.0,0.0057,0.7483,0.2517,0.1121,0.4568,0.303,0.0053,0.5517,16830.0,0.0563,0.2088,0.0424,0.1454,2.76,0.2703,0.0508,0.1033,0.1232,0.0,0.2654,0.2844,0.2284,542,55100,0.9401130842119225,0.08951733166456902,0.865611062962172,-0.3560873515609867,1.6176525106192015,-1.2765804694730334
60140,47001020800,Tennessee,Anderson ,2019,4909,1888,0.2495,0.5276,47.4,0.002,0.0008,0.002,0.0134,0.4631,0.5369,0.1557,0.4906,0.2608,0.009,0.4375,22604.0,0.0769,0.1972,0.0072,0.3533,2.54,0.1711,0.1038,0.1748,0.1079,0.0006,0.2988,0.2875,0.1103,546,107500,2.3168854453052914,0.5319490570759061,1.1526025256342909,-0.15810695113756476,0.6941521118301661,0.09628870190249314
60141,47001020901,Tennessee,Anderson ,2019,5473,2220,0.2648,0.5008,45.2,0.0009,0.0004,0.0031,0.0015,0.8178,0.1822,0.0662,0.4431,0.1372,0.0374,0.3982,31503.0,0.0497,0.1856,0.0,0.1883,2.41,0.2166,0.0243,0.0631,0.0713,0.0122,0.0644,0.165,0.2091,833,165700,-0.48926911561132214,-0.604915980123868,0.662074276215989,-0.34318015613096686,0.2769536699564568,-0.48020092552893306
