GEOID,State Name,County Name,Year,TOTALPOP,TOTALHHOLD,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QSNGPKIDS,QFHH,QFEMLBR,QED12LES,QRICH200K,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QRENTER,PPUNIT,QMOHO,QNOAUTO,QHSEBRDN,QUNINSUR,QESL,QPOVTY,QDISABLE,QUNOCCHU,MDGRENT,MDHSEVAL,SoVI_Score,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,SoVI_Score_Weighted
1001020100,Alabama,Autauga ,2019,1993,709,0.1902,0.5449,38.9,0.0763,0.0,0.001,0.013,0.7804,0.2196,0.1834,0.4685,0.1255,0.0536,0.3992,31225.0,0.0286,0.1807,0.0,0.237,2.81,0.1766,0.0099,0.2327,0.0973,0.0,0.1666,0.2057,0.0221,749,136100,-0.059983797967979924,-0.699362669809194,-0.27662892318030646,-0.2954068061991756,0.3110404534499929,0.9003741477707031,-0.3405534252622786
1001020200,Alabama,Autauga ,2019,1959,688,0.1955,0.4599,41.3,0.5702,0.0,0.0,0.0153,0.7509,0.2491,0.1235,0.5394,0.1483,0.0,0.4273,20785.0,0.0437,0.2614,0.0,0.3735,2.54,0.0155,0.1424,0.2035,0.0713,0.0,0.1913,0.1241,0.181,777,90500,-0.7269693214423854,0.41114410245412236,-0.3036426147880845,-0.6277240334698322,-0.14350594255944038,-0.06324083307915064,0.004669471707822669
1001020300,Alabama,Autauga ,2019,3507,1360,0.1879,0.5064,37.6,0.2444,0.0,0.0091,0.0664,0.6692,0.3308,0.1404,0.4557,0.1497,0.0059,0.3941,24548.0,0.0352,0.2113,0.0,0.3537,2.58,0.0133,0.0463,0.1485,0.0354,0.0452,0.1725,0.1865,0.0476,902,122600,0.30773210240162185,-0.4679263197451718,-0.40302198217526,0.5277215800893057,0.08739872597118914,0.5635600982615588,-0.18908444812851533
1001020400,Alabama,Autauga ,2019,3878,1675,0.2865,0.4974,45.8,0.0557,0.0083,0.0028,0.0108,0.8131,0.1869,0.0633,0.3983,0.0947,0.0179,0.4454,32474.0,0.032,0.0754,0.0,0.209,2.32,0.0,0.0125,0.1266,0.039,0.0379,0.0464,0.1827,0.1009,933,152700,-0.38185963521666,-1.0263823180689746,0.8520667924225466,0.21836890594707667,-0.6026235485059787,0.17671053298867004,-0.26230739722867197
1001020500,Alabama,Autauga ,2019,10596,4483,0.1857,0.504,34.9,0.182,0.0,0.0363,0.0443,0.7291,0.2709,0.1341,0.4861,0.0797,0.0207,0.2231,39086.0,0.0312,0.1613,0.0135,0.5168,2.32,0.0039,0.0444,0.2342,0.0391,0.0196,0.1516,0.1663,0.0301,1169,186900,-2.370987418318348,-0.24553045799468765,-1.2537170757133551,-0.16514041425238268,-0.8108476064671855,0.10424813610926302,-0.505038888852176
1001020600,Alabama,Autauga ,2019,3668,1340,0.2039,0.5428,39.0,0.1889,0.0,0.0,0.045,0.8527,0.1473,0.0933,0.4776,0.1455,0.0448,0.4769,26635.0,0.0675,0.2565,0.0055,0.1903,2.74,0.266,0.0104,0.2037,0.1205,0.0032,0.2521,0.2479,0.0669,1081,103600,0.8845814036558362,-0.5205194326111252,0.16991553639385848,0.023640493538984647,0.7239900560421828,0.48755475029193535,-0.09740899161865313
1001020700,Alabama,Autauga ,2019,3586,1338,0.1997,0.5463,35.3,0.2036,0.0056,0.0,0.07,0.772,0.228,0.2676,0.5782,0.2258,0.0329,0.3221,20783.0,0.0983,0.241,0.0,0.4036,2.61,0.4049,0.0306,0.2511,0.1439,0.0234,0.2783,0.2637,0.0544,890,82400,2.2689231388823323,-0.13189531178440497,-0.5265568527851051,0.3937085954282878,1.4332803179314302,1.1003863900921242,0.06276312634819967
1001020801,Alabama,Autauga ,2019,3196,1110,0.2031,0.5097,40.7,0.1364,0.0,0.0,0.0135,0.7719,0.2281,0.1928,0.4943,0.064,0.0955,0.4081,34941.0,0.0287,0.1174,0.008,0.1676,2.88,0.1474,0.045,0.1216,0.0459,0.0,0.0832,0.1109,0.1565,908,322900,-1.773996472852597,-0.7965826883855854,-0.18950734898683824,-0.8321531581682915,-0.3906973185411023,0.4349440412292206,-0.5318506095787342
1001020802,Alabama,Autauga ,2019,11142,4098,0.1928,0.523,37.3,0.1442,0.0,0.0098,0.0193,0.7896,0.2104,0.1125,0.4593,0.0766,0.0151,0.3094,27141.0,0.0303,0.1794,0.0036,0.121,2.72,0.2295,0.0429,0.1881,0.0825,0.0103,0.1322,0.1862,0.0529,815,171500,-1.0501572479836583,-0.8881445771698836,-0.7792971638413572,-0.38947920330996066,0.5316047100798237,0.47515898625771974,-0.5758673323963125
1001020900,Alabama,Autauga ,2019,6143,2295,0.1945,0.4916,37.8,0.1017,0.0103,0.0041,0.0042,0.8136,0.1864,0.0954,0.3762,0.1208,0.0597,0.2954,31060.0,0.0187,0.101,0.0109,0.1355,2.67,0.3682,0.0322,0.0601,0.0485,0.007,0.0705,0.1869,0.0904,1016,156900,-2.641189356005246,-1.3188581476588883,-0.717162884353956,-0.6516904911713407,0.5676144755294701,-0.5210923083505308,-0.8615067648090032
1001021000,Alabama,Autauga ,2019,2527,986,0.2252,0.5283,38.5,0.2042,0.0008,0.0,0.0119,0.5459,0.4541,0.1511,0.3958,0.1323,0.0588,0.4067,27398.0,0.0442,0.1658,0.0371,0.1531,2.55,0.4119,0.0183,0.0903,0.0784,0.003,0.2212,0.1955,0.238,588,116900,-1.2005473139525393,-0.5990304721000241,-0.08321304848632999,-0.7235444793217092,0.8485741586899496,-0.6433334727344256,-0.37317520033588425
1001021100,Alabama,Autauga ,2019,3185,1315,0.3061,0.519,46.1,0.5212,0.0072,0.0028,0.011,0.6683,0.3317,0.1087,0.4986,0.2026,0.0335,0.5255,23828.0,0.0304,0.2078,0.0314,0.1544,2.39,0.3709,0.1369,0.1316,0.1127,0.0037,0.211,0.2487,0.2283,445,88600,1.392940818263609,-0.012496042481650206,1.4436831751588581,-0.31109137418346167,0.5464721356571705,-0.27362707588730756,0.33167560558454384
1003010100,Alabama,Baldwin ,2019,3433,1395,0.3525,0.4637,52.1,0.1101,0.0498,0.0,0.0,0.8208,0.1792,0.048,0.4819,0.2212,0.0,0.5799,26435.0,0.0475,0.1775,0.037,0.1491,2.44,0.3226,0.0667,0.1742,0.072,0.0,0.1068,0.2476,0.3679,736,107600,0.36056127142052685,-0.19835793558250037,2.0247032654215,-0.4658263908471992,0.28811436023762516,-1.2880720278088986,0.2756013769520591
1003010200,Alabama,Baldwin ,2019,3158,1246,0.2654,0.5025,41.5,0.0719,0.0237,0.0,0.0,0.5641,0.4359,0.1156,0.4204,0.1382,0.0265,0.3379,24945.0,0.0657,0.1923,0.023,0.2552,2.53,0.2727,0.0706,0.1533,0.0763,0.0,0.1859,0.152,0.0938,780,136900,-0.9108733978349005,-0.4384014302278429,-0.07869436680456812,-0.5344629215091609,0.4010763879114227,-0.26039106720475125,-0.28163340603205467
1003010300,Alabama,Baldwin ,2019,8284,2756,0.251,0.4984,43.3,0.1549,0.0296,0.0,0.0185,0.9213,0.0787,0.0689,0.4574,0.1095,0.0729,0.41,32898.0,0.0477,0.1899,0.0,0.1647,2.82,0.2057,0.0729,0.0526,0.0742,0.0034,0.0626,0.1654,0.1184,742,170400,-0.8368109423354871,-0.9135642854110818,0.47532487669751416,-0.2912802616194164,-0.2019493259500018,0.09465805394749874,-0.35064395230579093
1003010400,Alabama,Baldwin ,2019,5181,1849,0.2418,0.509,38.9,0.0764,0.0135,0.0041,0.0139,0.8403,0.1597,0.0968,0.4196,0.1781,0.02,0.3348,24034.0,0.0256,0.1458,0.0548,0.1633,2.8,0.3447,0.0108,0.1098,0.0953,0.0032,0.1033,0.1239,0.1667,718,149200,-1.6242113728556395,-1.110431840724246,-0.5286451045658598,-0.48262153767488264,1.122417807958085,-0.6249306978487364,-0.6569942808144313
1003010500,Alabama,Baldwin ,2019,5463,1870,0.2497,0.4507,41.8,0.1225,0.0035,0.0015,0.0,0.8904,0.1096,0.0594,0.5167,0.1048,0.0369,0.3973,28278.0,0.0237,0.2126,0.0124,0.3283,2.59,0.0167,0.0599,0.0893,0.0953,0.0,0.1243,0.1775,0.1099,461,148500,-1.1470845982547528,-0.5201366469669852,0.12320792617388773,-0.3829619079021902,-0.25206636534813104,-0.11512760421133396,-0.29075677909100783
1003010600,Alabama,Baldwin ,2019,3730,1122,0.1895,0.5051,30.3,0.626,0.0019,0.0,0.0531,0.3478,0.6522,0.2362,0.4957,0.2992,0.0419,0.4545,18018.0,0.0659,0.2464,0.0,0.4332,3.31,0.1862,0.082,0.1105,0.1737,0.0244,0.3213,0.1375,0.1963,627,104700,1.5117309353522104,0.5539202463797864,-0.47978736665722677,0.4450327783642221,0.8751413131637811,0.11742396410164746,0.27873148765163536
1003010701,Alabama,Baldwin ,2019,8756,3335,0.2353,0.5304,44.7,0.0134,0.0032,0.0278,0.0498,0.7958,0.2042,0.078,0.4627,0.0354,0.1385,0.4132,41926.0,0.0048,0.1186,0.0,0.2594,2.62,0.0327,0.0534,0.1631,0.0695,0.0224,0.0464,0.1347,0.0526,1351,270600,-1.3584140907066462,-0.8111508880297881,0.48404374844998965,0.2931207876461296,-1.6985656008520071,0.3741378620790299,-0.3211370347810787
1003010703,Alabama,Baldwin ,2019,19962,6874,0.1692,0.5019,35.0,0.0973,0.0,0.0134,0.0229,0.8926,0.1074,0.0866,0.4952,0.0387,0.0659,0.2355,36830.0,0.0296,0.1178,0.0029,0.1724,2.9,0.0129,0.0153,0.133,0.0599,0.0111,0.0334,0.088,0.0533,1260,240800,-3.0092607642638645,-1.154488210301017,-1.3433172610322024,-0.5366527228242616,-0.5001092373833984,0.5253066672770146,-0.9394802811319873
1003010704,Alabama,Baldwin ,2019,6456,1883,0.2105,0.5469,34.3,0.3177,0.0,0.0098,0.0025,0.6122,0.3878,0.1822,0.5011,0.0298,0.0382,0.4408,24579.0,0.0277,0.1644,0.0055,0.2549,3.43,0.0,0.0112,0.1907,0.0846,0.0036,0.2364,0.116,0.0664,1547,166600,-0.5207012003881486,-0.42209577819603994,-0.6145126170579654,-0.6565613116304018,-0.06675574508387101,1.2392242515801295,-0.3577120369199267
1003010705,Alabama,Baldwin ,2019,9344,3767,0.2151,0.5142,33.8,0.1458,0.0,0.0066,0.0697,0.7134,0.2866,0.1059,0.4712,0.0158,0.0257,0.2692,32764.0,0.0263,0.1397,0.0042,0.3966,2.46,0.0034,0.0257,0.1662,0.0356,0.0052,0.1206,0.0888,0.1338,1106,185000,-2.0183587463091768,-0.6792415801229755,-1.0684806421646245,-0.28544412343436115,-0.5174728961192417,0.5322804955320256,-0.6198259833497457
1003010800,Alabama,Baldwin ,2019,6856,2608,0.285,0.5244,45.2,0.2087,0.0,0.0252,0.0109,0.8697,0.1303,0.0794,0.4901,0.0584,0.1503,0.3976,41104.0,0.0747,0.0822,0.0081,0.2592,2.53,0.0446,0.0372,0.1242,0.0261,0.014,0.0782,0.1432,0.1571,1114,341000,-2.017672455346905,-0.5115131170170999,0.8200480159692957,-0.5118180363994111,-1.824267758592589,0.00987844069289928,-0.25460560533388416
