GEOID,State Name,County Name,Year,TOTALPOP,TOTALHHOLD,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QSNGPKIDS,QFHH,QFEMLBR,QED12LES,QRICH200K,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QRENTER,PPUNIT,QMOHO,QNOAUTO,QHSEBRDN,QUNINSUR,QESL,QPOVTY,QDISABLE,QUNOCCHU,MDGRENT,MDHSEVAL,SoVI_Score,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,SoVI_Score_Weighted
5001480100,Arkansas,Arkansas ,2019,1428,610,0.2584,0.4433,49.2,0.2325,0.0,0.0,0.0539,0.5219,0.4781,0.0311,0.381,0.1497,0.0,0.4344,24243.0,0.0776,0.1127,0.1843,0.1967,2.34,0.2825,0.0,0.1082,0.0616,0.0,0.1826,0.2423,0.3845,690,73500,-1.5520038158386338,-0.09986193805705974,1.0816860172457021,-0.39572458334399235,-2.614251282496459,0.476147970813175,0.008016616758514606
5001480200,Arkansas,Arkansas ,2019,1450,619,0.2228,0.4952,47.4,0.0828,0.0,0.0,0.0,0.8252,0.1748,0.0824,0.4286,0.0916,0.0081,0.2924,30960.0,0.0244,0.0818,0.1193,0.2456,2.34,0.2604,0.0662,0.0501,0.0414,0.0066,0.0921,0.2076,0.2675,644,102100,-2.31769512531124,-0.8281901672141485,0.11670971705262394,-0.824917285835301,-1.2330081879860357,0.4517107986716216,-0.5174105251034976
5001480300,Arkansas,Arkansas ,2019,2950,1114,0.2481,0.4854,40.1,0.3515,0.0102,0.0,0.0414,0.6207,0.3793,0.105,0.4798,0.1898,0.0404,0.3932,29968.0,0.0638,0.0726,0.0367,0.3196,2.65,0.0139,0.0601,0.1041,0.0746,0.0205,0.118,0.1814,0.1424,663,98500,-0.9693271732274418,-0.13457010127245747,0.054055957167230044,-0.2364881501647695,-0.2959068011139962,-0.3564180778434487,-0.12723212485477475
5001480400,Arkansas,Arkansas ,2019,2296,1044,0.2657,0.5736,43.2,0.6376,0.0,0.0035,0.0166,0.2791,0.7209,0.1973,0.5953,0.2294,0.0153,0.3487,21691.0,0.0895,0.152,0.0281,0.5029,2.18,0.0608,0.2433,0.2395,0.0475,0.0168,0.3179,0.2596,0.13,536,70100,3.0052228725020966,1.5781855337979234,0.6332592645765073,-0.3888694671385948,1.3348556004869154,-0.15220805922065445,0.8597790841546994
5001480500,Arkansas,Arkansas ,2019,3772,1572,0.2603,0.5575,37.3,0.1946,0.0,0.0,0.0154,0.7046,0.2954,0.1489,0.5327,0.1082,0.0324,0.3359,26393.0,0.0498,0.181,0.07,0.4434,2.35,0.0,0.0789,0.2093,0.0379,0.0,0.1318,0.1982,0.158,724,120600,0.3449410265176789,0.07840068568440073,-0.0666329724523364,-0.6838845920612571,1.0476126267837866,-0.030554721436915053,-0.015565070142186055
5001480600,Arkansas,Arkansas ,2019,1900,761,0.2637,0.5116,38.7,0.0305,0.0,0.0,0.0484,0.9082,0.0918,0.0841,0.4502,0.0993,0.067,0.3075,32268.0,0.0663,0.1356,0.0794,0.251,2.32,0.17,0.0447,0.0815,0.0754,0.0,0.0855,0.1276,0.1141,533,97200,-2.1694777493255524,-0.861825121177234,-0.2795240128047071,-0.4696179525684412,-0.4287220404831747,-0.1297886222919953,-0.5535527875811922
5001480700,Arkansas,Arkansas ,2019,2638,1150,0.232,0.5186,42.5,0.2597,0.0,0.0,0.0701,0.3044,0.6956,0.1696,0.5274,0.2266,0.02,0.3026,21038.0,0.0442,0.2821,0.0821,0.3504,2.27,0.2895,0.0661,0.1452,0.134,0.0171,0.2822,0.3338,0.2074,633,60400,2.2847681866796967,0.4635147720672184,0.4174391178397397,0.3078885594904435,-0.11027753780593685,1.2062032750882319,0.42656717391825305
5001480800,Arkansas,Arkansas ,2019,1480,621,0.2824,0.5446,39.8,0.1392,0.0,0.0,0.0,0.8363,0.1637,0.1224,0.481,0.1763,0.0322,0.3913,26082.0,0.0567,0.1883,0.2389,0.2641,2.38,0.2918,0.0113,0.087,0.0723,0.0043,0.1432,0.2027,0.3504,614,85500,-0.04155883432102203,-0.45734474771983863,0.8486185423917525,-0.28962028680140683,-1.0281590056971286,0.8849466635055996,-0.029531226225058743
5003960100,Arkansas,Ashley ,2019,1624,633,0.2943,0.5333,43.1,0.423,0.0,0.0,0.0474,0.4545,0.5455,0.1548,0.5075,0.1764,0.0221,0.4518,19834.0,0.1378,0.2256,0.1729,0.1912,2.57,0.2783,0.0948,0.1485,0.0776,0.0203,0.2599,0.2389,0.2839,494,62300,1.764673347102755,0.6883486809454737,1.2424526839876557,-0.17540244383900108,-0.7168288342421982,0.7261032602508248,0.5852299006211829
5003960200,Arkansas,Ashley ,2019,2972,1091,0.2641,0.4852,43.0,0.0801,0.0,0.002,0.0185,0.9691,0.0309,0.0513,0.4302,0.1243,0.0137,0.4198,23967.0,0.0385,0.1288,0.1033,0.0605,2.72,0.3844,0.0449,0.1137,0.0444,0.0122,0.0797,0.1864,0.219,725,80000,-1.4625141499877263,-1.1320749087658186,0.3366634408109131,-0.5609808404472402,-1.0650889833265982,0.9589671417410175,-0.49169460223768546
