GEOID,State Name,County Name,Year,TOTALPOP,TOTALHHOLD,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QSNGPKIDS,QFHH,QFEMLBR,QED12LES,QRICH200K,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QRENTER,PPUNIT,QMOHO,QNOAUTO,QHSEBRDN,QUNINSUR,QESL,QPOVTY,QDISABLE,QUNOCCHU,MDGRENT,MDHSEVAL,SoVI_Score,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,SoVI_Score_Weighted
13001950100,Georgia,Appling ,2019,3179,1156,0.2406,0.4961,40.5,0.0299,0.0,0.0,0.0261,0.7883,0.2117,0.1194,0.4096,0.1942,0.0337,0.3599,27615.0,0.0419,0.1492,0.028,0.1453,2.73,0.3785,0.0528,0.1202,0.1125,0.0071,0.2031,0.1207,0.2684,415,103400,-0.633573979222658,-0.5293455212363983,0.45900447642932035,-0.38346131671366945,1.0026667783178655,-1.1824383960197762,-0.18966244512618502
13001950200,Georgia,Appling ,2019,4766,1609,0.2025,0.4702,38.0,0.4178,0.0185,0.0,0.0961,0.697,0.303,0.179,0.5277,0.2719,0.0329,0.3667,19000.0,0.0248,0.2458,0.0232,0.2449,2.77,0.4325,0.0963,0.1274,0.2302,0.0455,0.2023,0.1567,0.1715,444,56300,1.474198230252046,-0.2924736153887222,0.09662247174379503,0.3521753268899157,1.6071863307261098,-0.28931228371905227,0.05718879151010964
13001950300,Georgia,Appling ,2019,5154,1771,0.2449,0.5101,39.6,0.1455,0.0,0.0144,0.2064,0.741,0.259,0.1186,0.4036,0.3347,0.0068,0.393,18365.0,0.0634,0.1452,0.1018,0.323,2.83,0.2371,0.14,0.1152,0.155,0.0995,0.266,0.1735,0.2406,574,94000,1.7674326645459568,-0.05466014467163554,0.9938881220760434,1.0507129821148236,1.1092120675735035,-1.3317203625467782,0.39410714815537917
13001950400,Georgia,Appling ,2019,1674,619,0.2533,0.5006,42.4,0.2407,0.0018,0.0,0.0633,0.7233,0.2767,0.2003,0.4463,0.234,0.0016,0.4572,19924.0,0.0537,0.1955,0.1209,0.1809,2.7,0.3342,0.0679,0.1422,0.1237,0.008,0.1983,0.1368,0.2282,604,73600,1.0261330874603818,-0.4044243501738652,0.7450350014254755,-0.19088936103417647,1.718348368245112,-0.8419365710021641,0.046080750831891046
13001950500,Georgia,Appling ,2019,3667,1501,0.2528,0.501,43.7,0.0878,0.0016,0.0,0.0325,0.4303,0.5697,0.1519,0.4665,0.159,0.0113,0.3971,23569.0,0.0235,0.0689,0.1212,0.2159,2.4,0.428,0.02,0.1086,0.1074,0.0148,0.2268,0.1636,0.2145,670,68200,0.04995544651299699,-0.7158983381573129,0.5307348504141637,-0.5961211518226444,1.8128578768326786,-0.9816177907538881,-0.21508520394581399
13003960100,Georgia,Atkinson ,2019,2119,810,0.1977,0.488,38.9,0.1369,0.0,0.0,0.3124,0.6969,0.3031,0.1444,0.4578,0.3725,0.0457,0.3556,20522.0,0.0799,0.1092,0.1551,0.3025,2.62,0.399,0.0901,0.0889,0.2355,0.1508,0.2525,0.1803,0.198,352,62800,2.068237638904085,-0.43851536459838164,0.5136634751417045,1.5425160354818088,1.9726709962446123,-1.5220975033656592,0.24352009254781845
13003960200,Georgia,Atkinson ,2019,4687,1576,0.2072,0.4958,34.8,0.2428,0.0,0.0,0.2375,0.4817,0.5183,0.1967,0.4652,0.3301,0.0121,0.3369,20023.0,0.0969,0.1533,0.0565,0.2855,2.95,0.4032,0.0755,0.1504,0.2272,0.1117,0.2956,0.1621,0.1779,532,65100,2.165254471786768,-0.04830558907674127,0.15302479577083147,1.1125194760752288,1.6275924800917512,-0.6795766910743026,0.282541775122692
13003960300,Georgia,Atkinson ,2019,1433,494,0.1766,0.4899,32.9,0.0112,0.0565,0.0,0.1919,0.5269,0.4731,0.0729,0.4156,0.2469,0.0304,0.2834,21095.0,0.0146,0.0724,0.0965,0.1478,2.9,0.4718,0.0405,0.0911,0.2052,0.1693,0.3999,0.1326,0.1556,507,55400,0.14600496014029996,-0.7839688627107049,-0.4005261092236025,0.9807247490206846,1.892612798887334,-1.5428376158334112,-0.23815223391525442
13005970100,Georgia,Bacon ,2019,2737,1042,0.1995,0.4618,43.6,0.0055,0.0,0.0,0.0753,0.6605,0.3395,0.0825,0.4062,0.1119,0.0355,0.3733,26841.0,0.0057,0.1384,0.0729,0.1747,2.63,0.3923,0.0,0.1382,0.2426,0.0169,0.2495,0.1586,0.1808,845,84800,-0.6793958183150697,-0.7501333183281184,0.1986420772578115,-0.05973827285375516,1.4713350695380456,-1.5395013739290533,-0.28465568581753725
13005970201,Georgia,Bacon ,2019,4424,1477,0.2572,0.5538,32.1,0.1521,0.0,0.0,0.0371,0.5066,0.4934,0.176,0.5181,0.1624,0.0054,0.3541,19832.0,0.071,0.1915,0.0328,0.3074,2.9,0.3368,0.0873,0.1814,0.1814,0.0105,0.2296,0.1667,0.1804,476,84600,1.4792159537470777,-0.07333199864445028,0.2266716556709074,-0.19244968346438052,1.2135706355571776,0.30475534462782355,0.10317513572104098
13005970202,Georgia,Bacon ,2019,4040,1355,0.2059,0.4985,35.7,0.2507,0.0,0.0047,0.1374,0.5152,0.4848,0.1624,0.4887,0.2441,0.0,0.3461,16454.0,0.0449,0.1071,0.1193,0.3196,2.54,0.3767,0.0768,0.1306,0.2083,0.0737,0.2379,0.2661,0.2136,525,58300,1.41963040607915,-0.21819969997515462,0.2814136663502084,0.26756969628856997,2.071241626978412,-0.9823948835628856,0.1071941594049809
13007960100,Georgia,Baker ,2019,1989,881,0.2137,0.5324,44.5,0.454,0.0,0.0483,0.0422,0.555,0.445,0.1124,0.4609,0.1812,0.0,0.353,20412.0,0.0389,0.1496,0.1253,0.3734,2.26,0.3244,0.084,0.1964,0.1393,0.023,0.3208,0.2026,0.2837,521,87300,0.6095664750518823,0.247474559343005,0.6856721066545,-0.3645499700805074,1.2185490571894877,-1.177579278054603,0.2242497305614124
13007960200,Georgia,Baker ,2019,1143,544,0.3666,0.4751,48.5,0.2983,0.0009,0.0,0.077,0.5412,0.4588,0.0809,0.3343,0.2159,0.0202,0.4724,26204.0,0.1315,0.0829,0.2571,0.3051,2.09,0.3804,0.1213,0.1673,0.0744,0.0108,0.0691,0.2345,0.2161,493,78300,0.3483424294637425,0.00851275243130755,1.9679944660176667,-0.514394406935825,1.6321471969035637,-2.7459175789529704,0.3349601087219286
13009970100,Georgia,Baldwin ,2019,6069,2027,0.191,0.4869,38.5,0.4577,0.0,0.0013,0.0,0.6624,0.3376,0.1702,0.4135,0.0733,0.0084,0.3305,25324.0,0.0158,0.304,0.0372,0.1672,2.99,0.3048,0.0321,0.1638,0.1618,0.0,0.0694,0.1346,0.2017,645,82900,-0.6991800715236607,-0.441584760756735,-0.30651695717913713,-0.687182039346851,1.2400136233057417,-0.5039099375466793,-0.32911203151404805
