GEOID,State Name,County Name,Year,TOTALPOP,TOTALHHOLD,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QSNGPKIDS,QFHH,QFEMLBR,QED12LES,QRICH200K,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QRENTER,PPUNIT,QMOHO,QNOAUTO,QHSEBRDN,QUNINSUR,QESL,QPOVTY,QDISABLE,QUNOCCHU,MDGRENT,MDHSEVAL,SoVI_Score,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,SoVI_Score_Weighted
28001000100,Mississippi,Adams ,2019,8103,1931,0.1781,0.3659,38.7,0.2836,0.0117,0.0079,0.1648,0.5296,0.4704,0.2175,0.4222,0.293,0.0243,0.4257,13289.0,0.1331,0.1302,0.0788,0.3055,3.05,0.3729,0.0378,0.1305,0.1579,0.2306,0.2563,0.1794,0.2483,570,89900,2.137322525938283,-0.015003029893895256,0.20946717413151444,3.4029307268601556,1.215044906201025,-2.675117251360517,0.4509122632216643
28001000200,Mississippi,Adams ,2019,3821,1513,0.1876,0.48,44.2,0.8731,0.0,0.0,0.0,0.7668,0.2332,0.1474,0.4765,0.2077,0.0099,0.499,17902.0,0.0752,0.3329,0.0368,0.2657,2.53,0.2172,0.0998,0.1639,0.1625,0.0,0.2588,0.2214,0.2856,817,72400,-0.8608572271748755,0.5942235940343313,0.5513052113176538,-0.9385615379788425,0.28130725131556855,-1.3491317458635868,0.21374944634792598
28001000300,Mississippi,Adams ,2019,1907,820,0.2889,0.5391,46.3,0.9764,0.0,0.0,0.0147,0.2639,0.7361,0.211,0.4611,0.2306,0.0,0.3732,15753.0,0.1445,0.2568,0.0084,0.4707,2.33,0.0433,0.2427,0.1585,0.097,0.0033,0.3314,0.1987,0.3167,522,64800,1.468770579444204,1.5220958570905005,1.3259596701371965,-0.6938440326291693,-0.5626403142045631,-0.12280060094976046,0.8510212536160889
28001000400,Mississippi,Adams ,2019,2864,1033,0.2521,0.5545,32.6,0.9759,0.0,0.0,0.0209,0.0837,0.9163,0.3737,0.66,0.2552,0.0,0.3088,9955.0,0.2196,0.263,0.0,0.6428,2.75,0.0098,0.1868,0.2343,0.25,0.0031,0.5974,0.1428,0.2186,435,76200,3.7300896661376597,2.2272480459288886,-0.04256709981512612,-0.23282881316285406,0.5385984014737876,1.2396391317129636,1.1256342402694324
28001000500,Mississippi,Adams ,2019,3975,1578,0.2642,0.5348,37.4,0.5824,0.0,0.0249,0.0906,0.6436,0.3564,0.2269,0.4763,0.2233,0.0146,0.334,17054.0,0.127,0.203,0.0291,0.436,2.52,0.0642,0.0754,0.2611,0.1884,0.1126,0.4335,0.1482,0.1339,657,84500,3.8919808443186588,0.6613478909324392,0.394685235467029,2.632172165062263,-0.0285550482689559,0.2323306011258835,0.7680463314377857
28001000600,Mississippi,Adams ,2019,2517,838,0.2122,0.6031,31.3,0.6011,0.0,0.0,0.0,0.0817,0.9183,0.3186,0.6323,0.2408,0.0143,0.3711,17858.0,0.0601,0.2223,0.0098,0.3341,3.0,0.0,0.0382,0.2148,0.1291,0.0,0.3218,0.1398,0.2154,892,94300,2.7220493851586403,0.435431184305982,-0.1415343256436835,-0.6563126366078085,0.880683155313005,2.203782007791145,0.31662854260161977
28001000700,Mississippi,Adams ,2019,1405,707,0.405,0.484,56.1,0.5082,0.0,0.0,0.0114,0.4037,0.5963,0.1542,0.6099,0.1655,0.0269,0.5233,32926.0,0.0878,0.2321,0.0346,0.3437,1.79,0.0,0.1457,0.2306,0.037,0.0226,0.26,0.2569,0.3136,597,164800,1.6932987289112833,0.8366389345008245,2.3786657092340486,-0.4740449392858098,-1.655564595538939,0.607603620001159,0.7453871285442315
28001000800,Mississippi,Adams ,2019,2991,1212,0.2508,0.4778,51.9,0.6372,0.0,0.003,0.0,0.5297,0.4703,0.1568,0.4886,0.1865,0.0413,0.4307,28501.0,0.0292,0.1881,0.0288,0.3606,2.45,0.1736,0.0685,0.099,0.1762,0.0,0.2504,0.1802,0.2694,571,93900,-0.6225947049080233,0.17750635993970051,1.1597251471712173,-0.6854293449254025,-0.5248934165640144,-0.749503450529524,0.15428848036121456
28001000900,Mississippi,Adams ,2019,3683,1605,0.3489,0.5338,45.7,0.2365,0.0,0.0041,0.0081,0.3394,0.6606,0.1894,0.6298,0.095,0.0336,0.4237,26059.0,0.0731,0.146,0.0575,0.3321,2.19,0.0131,0.0449,0.1801,0.0692,0.0095,0.1766,0.1444,0.157,807,129900,2.1176334075822436,-0.31616020456806815,1.48296553260273,-0.37807028065003645,-0.44649101902329774,1.7753893792209159,0.21981527195070755
28003950100,Mississippi,Alcorn ,2019,5870,2297,0.222,0.5107,39.3,0.0203,0.0121,0.0009,0.0262,0.8087,0.1913,0.1202,0.4969,0.123,0.0192,0.3418,24022.0,0.0498,0.1162,0.0018,0.2673,2.55,0.1348,0.0475,0.0993,0.0936,0.0,0.1395,0.1741,0.1374,687,108600,-0.6132003900516478,-1.0638216801057871,-0.11733324552325997,-0.16534112560589317,0.39126126759193086,0.34203439359136145,-0.4782765536822613
28003950200,Mississippi,Alcorn ,2019,7334,2932,0.2769,0.5524,38.6,0.1974,0.0,0.0,0.0536,0.5589,0.4411,0.1896,0.4743,0.1708,0.0651,0.4216,28070.0,0.0746,0.1907,0.0,0.3568,2.48,0.0161,0.0641,0.1057,0.1532,0.0177,0.1253,0.2119,0.1266,638,122000,1.939180865033515,-0.34656389815827204,1.025849758548488,0.6368892603117745,-0.33824514018626733,0.9612508845177918,0.19438971601863345
28003950300,Mississippi,Alcorn ,2019,3740,1481,0.2797,0.5171,45.5,0.1759,0.0,0.0008,0.0086,0.6861,0.3139,0.1843,0.4771,0.1587,0.0425,0.503,26185.0,0.0818,0.0951,0.0175,0.4308,2.33,0.1289,0.0979,0.0912,0.1442,0.0008,0.1384,0.2161,0.1876,638,124200,0.8246728984910946,-0.31335252213421433,1.456851224416135,-0.20103048643346721,-0.2651007502029929,0.1473054328456341,0.14902650339115436
28003950400,Mississippi,Alcorn ,2019,5205,2028,0.2048,0.5003,44.2,0.0,0.0002,0.0027,0.0382,0.9587,0.0413,0.1193,0.4829,0.3056,0.0,0.4867,23217.0,0.065,0.1126,0.0034,0.1696,2.57,0.2767,0.0197,0.0523,0.1009,0.0,0.1122,0.1689,0.1773,.,86700,0.3906502262591641,-1.2494470898547887,0.5787759974669185,0.08293752283722358,1.235949220481368,-0.2575654246715573,-0.32178886920097916
28003950500,Mississippi,Alcorn ,2019,5919,2647,0.2408,0.5024,36.6,0.2798,0.0,0.0059,0.04,0.4735,0.5265,0.1674,0.4957,0.2198,0.0106,0.3797,21562.0,0.0952,0.1852,0.0202,0.5055,2.12,0.0686,0.0412,0.1598,0.1796,0.014,0.2475,0.2611,0.1436,541,102800,1.5330647438599643,0.16370078805881288,0.41668510372564155,0.614569366086483,0.3522884366777522,-0.014178950688725357,0.29133006999101974
28003950600,Mississippi,Alcorn ,2019,4463,1595,0.2104,0.458,40.1,0.0605,0.0,0.0119,0.024,0.5784,0.4216,0.1292,0.4161,0.1711,0.0031,0.4345,18913.0,0.0527,0.1855,0.0231,0.2013,2.8,0.2429,0.0188,0.0903,0.1604,0.0124,0.1724,0.2187,0.1774,681,86000,-0.42801181230284646,-0.6464099244196474,0.1991738019927772,0.3206620285090778,0.7904122199967454,-1.0918499383817994,-0.20050056523926768
28003950700,Mississippi,Alcorn ,2019,4559,1669,0.2463,0.4973,35.7,0.0748,0.0,0.0,0.0125,0.748,0.252,0.1102,0.4766,0.1501,0.0198,0.3631,23928.0,0.0353,0.1175,0.0428,0.1702,2.73,0.2311,0.0132,0.1084,0.1259,0.0038,0.1125,0.222,0.1352,716,92000,-0.5671181510764216,-1.1503906539034023,0.08524151311736762,-0.1737652484838786,0.8489801394978991,-0.17718390130440737,-0.460015224551029
28005950100,Mississippi,Amite ,2019,4338,1886,0.2854,0.5332,48.5,0.3333,0.0007,0.0,0.0,0.6519,0.3481,0.1225,0.5,0.2137,0.0186,0.4056,21978.0,0.1155,0.0822,0.0738,0.1957,2.24,0.2463,0.0864,0.184,0.118,0.0045,0.2325,0.2132,0.1892,703,121800,0.6584191232995972,-0.24236448485808726,1.3748641230967404,-0.5413810721608978,0.2919267349914117,-0.22462617776956986,0.14882854505201468
28005950200,Mississippi,Amite ,2019,3759,1511,0.2892,0.5432,40.2,0.5504,0.0,0.0005,0.0,0.3945,0.6055,0.2634,0.5596,0.2112,0.0013,0.4322,18954.0,0.0804,0.281,0.04,0.1913,2.49,0.3906,0.1238,0.1383,0.0942,0.0006,0.3158,0.195,0.2732,482,61700,1.8956005895686279,0.24485305043827982,1.0659116120422634,-0.9557880555800286,1.0675301755708915,0.47309380709722176,0.37201671614799303
28005950300,Mississippi,Amite ,2019,4315,1821,0.2721,0.4737,49.8,0.391,0.0,0.0049,0.0,0.8167,0.1833,0.1065,0.3625,0.1259,0.0291,0.4931,23432.0,0.0611,0.1739,0.0882,0.0714,2.37,0.3549,0.0588,0.1225,0.1856,0.0007,0.2577,0.2362,0.2362,676,80600,-1.3895022179204504,-0.34182023989636473,1.4119308795189731,-0.5648605750898408,0.11179780784506503,-2.006550090298283,-0.029217172225231347
28007060100,Mississippi,Attala ,2019,2895,1007,0.2705,0.4722,43.3,0.3451,0.0,0.0031,0.0152,0.3413,0.6587,0.1321,0.4364,0.1788,0.0248,0.5303,19108.0,0.118,0.1904,0.0452,0.149,2.87,0.3083,0.0278,0.0516,0.123,0.0037,0.3196,0.2193,0.3598,736,80900,-0.39216270079097204,0.056504259271768095,1.2798126392433982,-0.610481255319157,0.40178858400721645,-1.5197869279941978,0.18021092572550118
28007060200,Mississippi,Attala ,2019,2636,943,0.2432,0.4715,41.6,0.2151,0.0,0.0,0.1149,0.8238,0.1762,0.1633,0.4665,0.1843,0.0339,0.4645,24542.0,0.0661,0.2114,0.0512,0.1209,2.77,0.3038,0.053,0.0626,0.121,0.0386,0.1483,0.2303,0.2129,900,91000,1.2646289786769196,-0.7918413497518229,0.9330360082199313,1.1202657989735685,0.8140877647806327,-0.8109192435453901,0.032841741307679945
28007060300,Mississippi,Attala ,2019,3390,1212,0.2864,0.4997,42.5,0.5165,0.0,0.0068,0.0088,0.8846,0.1154,0.1584,0.5033,0.2894,0.0017,0.5858,17064.0,0.0649,0.2008,0.0428,0.1122,2.8,0.4183,0.0536,0.1724,0.128,0.0025,0.2301,0.2861,0.2978,539,55700,1.5313722908991496,-0.15826852913947206,1.8065214362344961,-0.4962900438233997,1.1814937550262832,-0.8020843273987579,0.3469253446111781
28007060400,Mississippi,Attala ,2019,2672,1134,0.2313,0.5378,45.9,0.2871,0.0,0.0045,0.0,0.6087,0.3913,0.1737,0.4769,0.2079,0.0476,0.4691,27317.0,0.0675,0.1701,0.0353,0.0873,2.36,0.2848,0.045,0.1146,0.0928,0.0046,0.1347,0.232,0.2364,686,84600,-0.06542447854364536,-0.5436148439370767,1.21844673970391,-0.7172712339961793,0.16952265671425576,-0.19250779702855514,-0.061073391989026456
28007060500,Mississippi,Attala ,2019,3580,1440,0.2648,0.5922,34.0,0.4894,0.007,0.0,0.0,0.4942,0.5058,0.2681,0.4801,0.2059,0.0424,0.3951,25069.0,0.1038,0.2269,0.033,0.5424,2.46,0.0,0.1208,0.2257,0.0925,0.0,0.3131,0.1824,0.1996,511,106600,0.8217607510823898,0.7292597134928503,0.5257319674707454,-0.6715754629307044,-0.5844124238116238,0.8227569568611223,0.3626748835332452
28007060600,Mississippi,Attala ,2019,3264,1205,0.2249,0.5692,38.3,0.5993,0.0,0.0,0.0,0.2694,0.7306,0.3419,0.5204,0.2572,0.0083,0.4855,15830.0,0.1751,0.2714,0.0449,0.5228,2.46,0.0713,0.2506,0.2216,0.0779,0.0,0.4254,0.2203,0.1735,456,79000,2.32208253615131,1.5781902975283766,0.9861843164087563,-0.782181634344603,-0.014150132111338524,0.5540396886701183,0.8874958555215042
28009950100,Mississippi,Benton ,2019,5420,2179,0.2055,0.5138,40.8,0.4513,0.0,0.0,0.0301,0.6698,0.3302,0.1712,0.4814,0.2915,0.0133,0.3465,21076.0,0.0724,0.1243,0.0075,0.1648,2.45,0.3266,0.0078,0.1547,0.1323,0.0122,0.1813,0.1665,0.3016,495,78900,-0.19674662990188974,-0.46227977233152856,0.025918771417486733,-0.22242621396151946,1.0559286117438174,-0.5938880267701457,-0.16905792225112304
28009950200,Mississippi,Benton ,2019,2812,970,0.224,0.4982,41.7,0.1305,0.0,0.0,0.0181,0.5847,0.4153,0.132,0.3984,0.2397,0.0309,0.4433,19809.0,0.031,0.0881,0.045,0.2598,2.9,0.2359,0.1072,0.1835,0.192,0.0153,0.2429,0.1871,0.1461,513,72600,0.1525425105981565,-0.2950942519307732,0.6116585218130722,0.2821473580355636,0.47150292794876136,-0.9176720452684674,0.03132061971413646
28011950100,Mississippi,Bolivar ,2019,2857,1087,0.224,0.5485,40.2,0.8827,0.0,0.0018,0.0,0.248,0.752,0.3293,0.5707,0.2868,0.0276,0.3901,16035.0,0.087,0.2752,0.0642,0.4508,2.52,0.1419,0.1822,0.2033,0.1632,0.0019,0.4647,0.1926,0.2129,538,64900,1.856544262661949,1.4391659754337878,0.6265745496909002,-0.8119653823180665,0.3107763429580677,0.2919927768972596,0.751507132376699
28011950200,Mississippi,Bolivar ,2019,2656,1069,0.2075,0.5456,38.6,0.8739,0.0,0.0049,0.0049,0.0955,0.9045,0.3508,0.5365,0.3557,0.0075,0.4874,12987.0,0.1177,0.2416,0.0351,0.4874,2.4,0.1573,0.2039,0.2563,0.1225,0.0,0.4735,0.2186,0.1462,453,54700,2.9661086393873823,1.641737984153811,0.8827800783280286,-0.5445727528919412,0.5158087306641657,0.47035459913331834,0.9739989351018328
28011950300,Mississippi,Bolivar ,2019,3336,1285,0.1894,0.5603,33.0,0.8867,0.0,0.0009,0.0,0.255,0.745,0.3284,0.5551,0.1618,0.0023,0.3471,13968.0,0.0583,0.1868,0.0325,0.5813,2.6,0.1245,0.186,0.2615,0.176,0.001,0.4318,0.1984,0.1113,493,80200,1.8684712105549386,1.0754427826422437,-0.348134001653192,-0.5472830989139887,0.6631838858157795,1.0252616426640961,0.4781216491432053
28011950400,Mississippi,Bolivar ,2019,3897,1461,0.244,0.5173,36.8,0.8006,0.0,0.0,0.0085,0.3724,0.6276,0.2806,0.5294,0.2903,0.0041,0.4428,15709.0,0.1447,0.2191,0.0578,0.412,2.56,0.1601,0.1266,0.2005,0.1411,0.0108,0.405,0.183,0.2175,554,65900,1.5852366807201932,1.0850322260078689,0.5553549456049072,-0.46998759192408557,0.5963646221262352,-0.18152752109473258,0.6155678935900455
28011950500,Mississippi,Bolivar ,2019,5360,2224,0.2418,0.5075,35.7,0.442,0.0,0.0009,0.0782,0.6639,0.3361,0.1632,0.4565,0.1696,0.004,0.2986,18908.0,0.1047,0.203,0.1264,0.3853,2.4,0.1196,0.076,0.129,0.1567,0.0276,0.2732,0.192,0.0795,650,115900,0.711516880158472,-0.1513466236087764,-0.19838149832391838,0.8141412603784429,0.8283504307136121,-0.5812466890008884,0.04100411681826838
28011950600,Mississippi,Bolivar ,2019,6381,2339,0.2144,0.5168,31.3,0.158,0.0,0.0407,0.0321,0.4395,0.5605,0.1667,0.5028,0.0726,0.071,0.2813,31480.0,0.0379,0.1481,0.0222,0.3625,2.4,0.0121,0.0,0.1475,0.0641,0.0164,0.1662,0.1436,0.2133,932,151400,-2.35013098860696,-0.4008949242697665,-0.716349999058523,-0.03861931860464648,-1.3008501273880198,0.10658338071399605,-0.4834405498064206
28011950701,Mississippi,Bolivar ,2019,4486,1464,0.2229,0.5296,33.0,0.8613,0.0,0.0,0.0038,0.368,0.632,0.2671,0.4913,0.2499,0.0109,0.3873,14806.0,0.049,0.3889,0.0182,0.5902,2.89,0.0696,0.1851,0.2814,0.1671,0.0,0.3843,0.213,0.0907,624,93000,1.657387503022865,1.3941577073225464,0.05104179092681763,-0.3397956365457205,0.1405804080814497,0.4114032332377716,0.6517096429577512
28011950702,Mississippi,Bolivar ,2019,2875,1182,0.183,0.536,43.4,0.7969,0.0139,0.0,0.0,0.2566,0.7434,0.2623,0.4624,0.3345,0.0,0.4188,15080.0,0.1183,0.2511,0.0204,0.5846,2.43,0.0305,0.2293,0.3308,0.223,0.0043,0.4094,0.2595,0.1629,712,90200,2.1570367963324975,1.9582649033550796,0.8132913495903469,-0.13226038981871227,-0.1176788833534212,-0.3645801834407956,1.0393819820032462
28013950100,Mississippi,Calhoun ,2019,3823,1679,0.2584,0.4959,43.2,0.0991,0.0,0.0071,0.0484,0.8796,0.1204,0.053,0.4182,0.136,0.0,0.4312,21439.0,0.0502,0.1435,0.1058,0.1483,2.27,0.1713,0.0572,0.1525,0.0929,0.0224,0.1167,0.1732,0.1663,753,86000,-0.4936551543114159,-0.9712212445957655,0.6115251454057687,0.3485647555908753,0.42616175005416973,-0.9086855607664641,-0.276133558629291
28013950200,Mississippi,Calhoun ,2019,1346,645,0.1523,0.5579,42.5,0.4777,0.0,0.0052,0.0052,0.0789,0.9211,0.2031,0.5168,0.1737,0.0,0.2992,20856.0,0.0559,0.2051,0.0,0.4868,2.05,0.122,0.1457,0.0791,0.1776,0.0,0.286,0.292,0.2134,459,55100,1.2223099177980705,0.5216882853563833,0.1727694980232222,-0.3597033985685945,0.5104551066110145,0.377100426376045,0.309860265608443
28013950300,Mississippi,Calhoun ,2019,2983,1142,0.2682,0.5287,48.1,0.2792,0.0,0.0,0.0332,0.7136,0.2864,0.1524,0.5226,0.2426,0.0018,0.4711,18952.0,0.0769,0.1936,0.0431,0.1646,2.54,0.2536,0.0429,0.0998,0.0885,0.007,0.1409,0.3135,0.213,611,65400,2.3588803195001624,-0.5751230812698146,1.7574713918897167,-0.055540021246802594,1.0578545266120998,0.17421750351496368,0.2554006485519853
28013950400,Mississippi,Calhoun ,2019,3353,1197,0.2174,0.482,36.5,0.2043,0.0,0.0,0.1643,0.6479,0.3521,0.1479,0.3809,0.3102,0.0067,0.3576,18858.0,0.021,0.1686,0.1139,0.2331,2.78,0.2899,0.0727,0.0919,0.1557,0.0623,0.2692,0.1473,0.1576,599,62600,1.63980164595745,-0.6867427181292717,-0.01185062153586095,2.311698085194258,1.4086728685211851,-1.3819759680928603,0.046869343021369234
28013950500,Mississippi,Calhoun ,2019,2994,1183,0.2672,0.5818,35.8,0.477,0.0,0.0,0.0104,0.2817,0.7183,0.2806,0.5194,0.2558,0.0068,0.3415,16367.0,0.0605,0.183,0.0542,0.3872,2.44,0.0738,0.1276,0.1589,0.111,0.0052,0.3276,0.2179,0.0907,555,59400,2.9392329502997514,0.2615373965634806,0.599016084491171,-0.1374936623904816,0.8499643189879879,1.3662088126475938,0.4198776554762938
28015950100,Mississippi,Carroll ,2019,4518,1803,0.284,0.5077,44.0,0.2596,0.0011,0.0,0.0,0.8338,0.1662,0.0987,0.4174,0.1251,0.0483,0.4443,26699.0,0.0833,0.098,0.0071,0.1764,2.51,0.225,0.0105,0.1409,0.0974,0.0,0.1744,0.1912,0.2389,515,105400,-1.3403965685447863,-0.72574646605308,0.9642047007131976,-0.6603581301023769,-0.35732220542448057,-0.5611744676780465,-0.2752962132933128
28015950200,Mississippi,Carroll ,2019,5552,2024,0.2646,0.4852,48.5,0.4189,0.0,0.0,0.0043,0.7776,0.2224,0.081,0.504,0.2588,0.0,0.4857,18874.0,0.0602,0.1763,0.0385,0.1991,2.63,0.2973,0.0771,0.0973,0.0603,0.0006,0.1667,0.1962,0.2802,416,95500,-0.07734747988021884,-0.46152045992525803,1.2613849584663492,-0.8004879518778201,0.6445398780444497,-0.7212639045879397,-0.011016371601314537
28017950100,Mississippi,Chickasaw ,2019,3909,1616,0.264,0.5884,38.6,0.6132,0.0,0.0,0.0184,0.5238,0.4762,0.2184,0.5778,0.2198,0.0124,0.4146,19547.0,0.039,0.1646,0.0289,0.341,2.38,0.2105,0.1231,0.1838,0.098,0.0,0.229,0.2061,0.1517,577,71600,2.7494351704444604,-0.11923129391603447,0.8696800510597084,-0.46135369726497355,0.8673351868585638,1.5930049237071964,0.2797053036872127
28017950200,Mississippi,Chickasaw ,2019,3351,1142,0.2378,0.4802,34.8,0.242,0.0,0.0033,0.0352,0.7536,0.2464,0.1436,0.474,0.213,0.0166,0.3214,19884.0,0.025,0.1371,0.0601,0.2557,2.93,0.3058,0.0613,0.1243,0.1221,0.0131,0.2125,0.1981,0.1992,601,71100,-0.7323832211647738,-0.6482426532948331,-0.19195383471805794,-0.010660485161682777,0.9887514167834371,-0.8702776647736371,-0.30215616492842456
28017950300,Mississippi,Chickasaw ,2019,4399,1686,0.2291,0.4853,38.1,0.4794,0.0,0.005,0.0698,0.4045,0.5955,0.2586,0.4898,0.2656,0.013,0.363,20773.0,0.0501,0.1145,0.0227,0.3986,2.38,0.0722,0.0368,0.1595,0.1189,0.0213,0.175,0.1802,0.1372,647,64900,1.6264765145605669,-0.17097028978667522,0.14424309919642309,0.7903752070637435,0.5763960496663013,0.28643244842077425,0.14039925224510652
28017950400,Mississippi,Chickasaw ,2019,5534,2032,0.2364,0.5164,38.6,0.4154,0.002,0.0,0.0622,0.622,0.378,0.1088,0.4369,0.2676,0.0098,0.4572,19545.0,0.0327,0.0895,0.0495,0.2205,2.72,0.3003,0.0728,0.1944,0.1419,0.019,0.2078,0.1838,0.1207,677,58900,1.4358769023588132,-0.6045405983771126,0.5809921832165303,0.6153669949488676,1.1206355463696973,-0.27657722379916955,0.03604140688428724
28019950100,Mississippi,Choctaw ,2019,2676,1149,0.2829,0.4761,46.3,0.1061,0.0,0.0,0.0,0.9689,0.0311,0.0574,0.4337,0.2275,0.0157,0.5074,23830.0,0.0912,0.1777,0.0884,0.0983,2.33,0.2414,0.0435,0.0722,0.1244,0.0,0.1899,0.2485,0.2252,591,73500,-0.8155800306710549,-0.6550743466284774,1.4930439762639751,-0.521992412331575,0.4177628523131154,-1.549320100288093,-0.08731251895757208
28019950200,Mississippi,Choctaw ,2019,4159,1488,0.2498,0.5047,40.1,0.396,0.0082,0.0,0.0079,0.5733,0.4267,0.1136,0.4288,0.1676,0.0255,0.5235,21547.0,0.0758,0.1686,0.0904,0.2473,2.75,0.292,0.0444,0.1337,0.0676,0.0018,0.172,0.2522,0.2431,695,107600,-0.7989443361586299,-0.3441807956403271,1.006242739871358,-0.7747877781411825,0.40146765170792137,-1.0876861539563998,-0.0620310421754622
28019950300,Mississippi,Choctaw ,2019,1442,591,0.2767,0.5173,45.0,0.4404,0.0,0.0014,0.0111,0.4626,0.5374,0.2386,0.5112,0.2081,0.0203,0.5212,21388.0,0.1055,0.1882,0.0393,0.357,2.29,0.0804,0.1404,0.0931,0.0613,0.0037,0.2947,0.3264,0.2078,294,98300,2.044978012560023,0.4602822098614452,1.9988106346077867,-0.48004630443355606,-0.09391981505164422,0.1598512875759916,0.6128809205903902
28021950100,Mississippi,Claiborne ,2019,2840,1048,0.262,0.5158,38.5,0.8074,0.0,0.0,0.0,0.3136,0.6864,0.2548,0.5296,0.2309,0.0,0.4265,11612.0,0.1813,0.1994,0.0083,0.1784,2.71,0.4982,0.0802,0.0697,0.0901,0.0,0.4366,0.1641,0.3799,659,64700,0.6941591307176566,0.5195717559284925,0.515148113614837,-1.1891035706243287,1.4055690652503758,-0.5570262334517201,0.3051294913132437
