GEOID,State Name,County Name,Year,TOTALPOP,TOTALHHOLD,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QSNGPKIDS,QFHH,QFEMLBR,QED12LES,QRICH200K,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QRENTER,PPUNIT,QMOHO,QNOAUTO,QHSEBRDN,QUNINSUR,QESL,QPOVTY,QDISABLE,QUNOCCHU,MDGRENT,MDHSEVAL,SoVI_Score,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,SoVI_Score_Weighted
29001950100,Missouri,Adair ,2019,3774,1326,0.296,0.5032,41.5,0.0011,0.0011,0.0034,0.0485,0.9582,0.0418,0.0581,0.4682,0.159,0.0053,0.3605,24259.0,0.0234,0.1413,0.0379,0.0973,2.85,0.1087,0.049,0.0724,0.1102,0.0079,0.0925,0.1248,0.1949,656,128600,0.2955220587962476,-0.9928589273991147,0.5736927903618855,-0.2431066283329698,0.7439051788411464,0.21388964532530028,-0.2613066676231681
29001950200,Missouri,Adair ,2019,2794,1031,0.2223,0.4968,36.4,0.0064,0.0011,0.0061,0.0565,0.7496,0.2504,0.0902,0.4595,0.1275,0.0136,0.3443,22603.0,0.0268,0.2011,0.0512,0.1717,2.71,0.1374,0.0834,0.1678,0.1421,0.0051,0.1603,0.1364,0.3412,720,111300,-0.2996780612007253,-0.10879089078242685,0.07887349953003021,-0.9212690502185145,0.7398876065095376,-0.08837922623935172,-0.10374650990784301
29001950300,Missouri,Adair ,2019,3225,1374,0.1836,0.4719,25.5,0.0133,0.0068,0.0189,0.0093,0.7005,0.2995,0.1012,0.514,0.1521,0.0124,0.2758,21301.0,0.026,0.2919,0.0156,0.6426,2.3,0.1011,0.1245,0.2795,0.104,0.0069,0.4144,0.1873,0.2451,606,70800,-1.5675579713151317,1.1003673658115125,-1.2173906225553885,-1.2625083228513272,0.510710213764958,-0.6987366054848866,0.012275106066664827
29001950400,Missouri,Adair ,2019,4002,1820,0.2306,0.5165,41.1,0.0367,0.0,0.0417,0.0215,0.7186,0.2814,0.0588,0.5155,0.0571,0.006,0.2868,26303.0,0.1073,0.1131,0.0185,0.3945,2.18,0.0251,0.0555,0.1593,0.0611,0.0443,0.1467,0.1288,0.0671,617,129500,-0.5474624322565206,-0.19229426364338645,-0.26991076227826993,0.18840617512527993,-0.2803005532451289,0.006636971784984756,-0.14987653901385917
29001950500,Missouri,Adair ,2019,7021,2828,0.2068,0.517,27.5,0.035,0.0,0.041,0.0041,0.5706,0.4294,0.0781,0.4891,0.0465,0.0463,0.3016,29786.0,0.0641,0.1251,0.0202,0.425,2.31,0.0702,0.0446,0.1655,0.0398,0.0513,0.2638,0.1282,0.1796,706,168400,-1.5433064957257203,0.08995375697597709,-0.8035285511468546,-0.3294663205405416,-0.28097285272887457,-0.2192925282854266,-0.2441614015666432
29001950900,Missouri,Adair ,2019,2389,862,0.1134,0.4948,23.5,0.049,0.0,0.0067,0.0402,0.5227,0.4773,0.1369,0.5567,0.1165,0.0,0.2181,15263.0,0.0893,0.1933,0.0096,0.6624,2.77,0.0082,0.1508,0.2169,0.1005,0.0064,0.3956,0.1118,0.2128,625,97900,-1.5412419959697286,0.8766001079234985,-2.057965750154058,-0.3496079227385015,0.7273681024629269,-0.7376365334635947,-0.1438997290799521
29003010100,Missouri,Andrew ,2019,5832,2202,0.2248,0.4822,42.2,0.0381,0.0,0.0063,0.0574,0.7413,0.2587,0.0936,0.4478,0.0501,0.0536,0.3134,36343.0,0.0383,0.1187,0.0133,0.1776,2.65,0.0297,0.0114,0.1026,0.0318,0.0051,0.0616,0.1268,0.0529,974,176800,-1.7698134609904361,-0.9009249036386643,-0.2893193093662343,-0.06001087267876319,-0.14875213429183617,-0.37080624101493853,-0.5245968454439462
29003010200,Missouri,Andrew ,2019,6554,2593,0.2511,0.5249,39.3,0.0024,0.0005,0.0,0.0,0.7128,0.2872,0.0926,0.4787,0.0912,0.0208,0.3556,25888.0,0.021,0.1526,0.0237,0.2754,2.48,0.0546,0.0656,0.1234,0.0648,0.0007,0.0785,0.1516,0.0619,743,121300,-0.5100225858035463,-0.7552828703436247,-0.07901879933959728,0.3759691595373192,0.5122887515883918,-0.5639788272460352,-0.2978640313576145
29003010300,Missouri,Andrew ,2019,2210,836,0.2548,0.4765,43.9,0.0009,0.019,0.0,0.0077,0.8738,0.1262,0.0502,0.4344,0.1461,0.0132,0.4581,24335.0,0.0327,0.1568,0.0574,0.1172,2.64,0.2019,0.0443,0.1268,0.0837,0.0005,0.1027,0.2023,0.1068,742,104700,-0.625136667624627,-0.6357478571843257,0.734428286918299,-1.0585454279553708,0.8380411090617592,-0.5033127784649888,-0.22111180362344757
29003010400,Missouri,Andrew ,2019,2907,1132,0.2594,0.5015,46.7,0.0,0.0,0.0083,0.0296,0.8514,0.1486,0.0618,0.4691,0.0813,0.0203,0.4337,26866.0,0.031,0.1293,0.093,0.136,2.53,0.1021,0.0274,0.1316,0.0732,0.0011,0.0964,0.1842,0.1379,623,153900,-0.33437487982491704,-0.7113404857504859,0.8493403940816785,-0.5312145572651709,0.4514615745229168,-0.39262180541385555,-0.17732175243538886
