GEOID,State Name,County Name,Year,TOTALPOP,TOTALHHOLD,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QSNGPKIDS,QFHH,QFEMLBR,QED12LES,QRICH200K,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QRENTER,PPUNIT,QMOHO,QNOAUTO,QHSEBRDN,QUNINSUR,QESL,QPOVTY,QDISABLE,QUNOCCHU,MDGRENT,MDHSEVAL,SoVI_Score,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,SoVI_Score_Weighted
47001020100,Tennessee,Anderson ,2019,3196,1510,0.2369,0.5332,34.6,0.1974,0.0025,0.0491,0.0391,0.4844,0.5156,0.1523,0.5039,0.0696,0.0113,0.2583,26962.0,0.0317,0.2866,0.0,0.7364,2.11,0.0,0.1199,0.2662,0.1036,0.0265,0.1959,0.1665,0.1639,796,163200,0.588777426706416,0.756080557390125,-0.2869750233819177,0.21900111340015807,-0.6359211172825315,0.5365918965805822,0.2838270903548046
47001020201,Tennessee,Anderson ,2019,4080,1712,0.2341,0.5194,44.9,0.0358,0.0017,0.102,0.0184,0.8127,0.1873,0.0812,0.4761,0.0274,0.1419,0.3014,49868.0,0.0185,0.0984,0.0,0.3382,2.32,0.0037,0.0152,0.1005,0.0483,0.0457,0.0468,0.0816,0.0985,970,276000,-2.2971143694172915,-0.5735595224650989,0.3314352582841298,0.2033527420053685,-2.254411632174038,-0.003931215067652912,-0.2990918030233475
47001020202,Tennessee,Anderson ,2019,3973,1731,0.3053,0.5303,47.0,0.0206,0.0,0.0297,0.0667,0.946,0.054,0.0485,0.4203,0.0903,0.1023,0.4067,47686.0,0.0442,0.073,0.0,0.357,2.24,0.0,0.1138,0.1837,0.0935,0.0298,0.1822,0.206,0.1654,1007,194200,-0.07048440242559428,0.22393750654244998,1.6541591708243555,0.37905039217159797,-1.847591216196514,-0.48004025576748355,0.4339455281821736
47001020300,Tennessee,Anderson ,2019,3851,1486,0.2153,0.489,33.7,0.0299,0.0112,0.0,0.0691,0.5175,0.4825,0.183,0.4619,0.0904,0.0114,0.3567,25295.0,0.0112,0.1841,0.0034,0.2537,2.59,0.0153,0.0619,0.0821,0.1231,0.0392,0.0777,0.1641,0.1557,922,107500,-0.0061215030653510305,-0.5129414520680969,-0.42672813906229023,0.269713495892691,0.5045253487155447,0.15930924345680048,-0.25712011290286785
47001020400,Tennessee,Anderson ,2019,4275,1877,0.2653,0.4784,40.6,0.014,0.0119,0.015,0.0538,0.389,0.611,0.17,0.4428,0.1118,0.0176,0.4401,21057.0,0.1402,0.2412,0.0,0.3799,2.24,0.0262,0.0554,0.2706,0.1431,0.0714,0.3348,0.2769,0.1793,631,109900,2.195373121901235,1.097615725917838,1.0248372007597024,0.6300902006683875,-0.14679474168953557,-0.41037526375515737,0.8186961647567438
47001020500,Tennessee,Anderson ,2019,3655,1434,0.1934,0.5209,36.8,0.1464,0.0096,0.0104,0.0785,0.4047,0.5953,0.304,0.5421,0.1707,0.0,0.3347,19769.0,0.0754,0.2485,0.0,0.4909,2.51,0.0,0.0579,0.1562,0.185,0.0543,0.2792,0.2539,0.1796,758,103800,2.9000475784263853,0.5707322744151861,-0.007428375446559247,0.7128810684238676,0.7562918370213038,0.8675707740125871,0.470052850525971
47001020600,Tennessee,Anderson ,2019,2540,917,0.2689,0.5276,41.8,0.0839,0.0,0.0083,0.1059,0.6088,0.3912,0.1287,0.4922,0.0497,0.0589,0.434,32007.0,0.052,0.1976,0.0,0.1843,2.77,0.0059,0.0109,0.0971,0.0636,0.0,0.0791,0.1782,0.1019,881,157100,1.07971927185858,-0.6819999836407411,0.6998740209398157,0.16837252972254105,-0.12257427840966807,1.0160469832466323,-0.03257249437329042
47001020700,Tennessee,Anderson ,2019,1575,571,0.2051,0.4927,44.8,0.0,0.0,0.0,0.0057,0.7483,0.2517,0.1121,0.4568,0.303,0.0053,0.5517,16830.0,0.0563,0.2088,0.0424,0.1454,2.76,0.2703,0.0508,0.1033,0.1232,0.0,0.2654,0.2844,0.2284,542,55100,0.9341367947790358,0.08951733166456267,0.8656110629621651,-0.3560873515609863,1.6116762211863283,-1.276580469473034,0.24846063501568266
47001020800,Tennessee,Anderson ,2019,4909,1888,0.2495,0.5276,47.4,0.002,0.0008,0.002,0.0134,0.4631,0.5369,0.1557,0.4906,0.2608,0.009,0.4375,22604.0,0.0769,0.1972,0.0072,0.3533,2.54,0.1711,0.1038,0.1748,0.1079,0.0006,0.2988,0.2875,0.1103,546,107500,2.3168854453052887,0.5319490570759052,1.1526025256342884,-0.15810695113756187,0.6941521118301628,0.09628870190249368,0.5793023495158364
47001020901,Tennessee,Anderson ,2019,5473,2220,0.2648,0.5008,45.2,0.0009,0.0004,0.0031,0.0015,0.8178,0.1822,0.0662,0.4431,0.1372,0.0374,0.3982,31503.0,0.0497,0.1856,0.0,0.1883,2.41,0.2166,0.0243,0.0631,0.0713,0.0122,0.0644,0.165,0.2091,833,165700,-0.4892691156113211,-0.6049159801238666,0.6620742762159881,-0.3431801561309661,0.2769536699564578,-0.48020092552893434,-0.15584917079397534
