GEOID,Year,Total_Pop, Total_HH,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QFHH,QED12LES,QRICH,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QFEMLBR,QUNOCCHU,QRENTER,PPUNIT,QMOHO,QNOAUTO,MDGRENT,QHSEBRDN,MDHSEVAL,QNOHLTH,QESL,QPOVTY,QGROUP
47001020100,2015,2952,1396,0.2595,0.5596,34.5,0.231,0.0064,0.0654,0,0.4325,0.1734,0.1127,0.0136,0.2808,20013,0.1201,0.2528,0.0517,0.4766,0.1631,0.7722,2.11,0,0.1827,634,0.361,123200,0.2026,0.0452,0.3364,0.0024
47001020201,2015,4148,1841,0.2061,0.5251,46,0.0571,0.0029,0.0808,0.0215,0.7867,0.0598,0.0325,0.1564,0.277,52129,0.046,0.1074,0.0232,0.4922,0.0421,0.3618,2.19,0,0.0234,910,0.1505,285000,0.028,0.0527,0.0557,0.027
47001020202,2015,4149,1903,0.3538,0.5221,50.7,0.0215,0.0036,0.0607,0.0892,0.809,0.0368,0.1239,0.0347,0.4997,43358,0.0662,0.0875,0.0643,0.497,0.1397,0.3642,2.12,0.0127,0.1167,925,0.1766,176400,0.1124,0.0572,0.1192,0.026
47001020300,2015,3833,1628,0.2374,0.5176,35.1,0.0916,0,0.0112,0.1002,0.7385,0.1413,0.0513,0,0.3225,24429,0.0382,0.2091,0.0979,0.468,0.1363,0.3206,2.35,0,0.0209,721,0.1302,103500,0.0874,0.0358,0.0939,0
47001020400,2015,4289,1862,0.1875,0.4971,37.2,0.0238,0.0077,0,0.0718,0.5038,0.1643,0.0993,0.0172,0.3421,20239,0.2284,0.0882,0.0852,0.5027,0.2238,0.4243,2.25,0.0088,0.0789,564,0.2734,109600,0.1756,0.002,0.3123,0.0242
47001020500,2015,4066,1555,0.1847,0.5371,35.3,0.1409,0.0015,0,0.0546,0.459,0.2392,0.1587,0.0039,0.3003,17855,0.0776,0.3308,0.1112,0.5285,0.1165,0.5305,2.59,0.0102,0.0553,722,0.1916,99800,0.1864,0.0542,0.2806,0.0113
47001020600,2015,2694,982,0.2457,0.4933,46.7,0.0683,0.0063,0.0163,0.0327,0.7495,0.0631,0.0469,0.0295,0.3676,31743,0.0723,0.1294,0.0834,0.438,0.0401,0.221,2.74,0,0.0153,1105,0.0876,152500,0.0698,0.0043,0.1198,0
47001020700,2015,1555,608,0.2412,0.5003,48.3,0,0.0026,0,0,0.4436,0.1382,0.3707,0.0049,0.5263,16937,0.0506,0.2537,0.1514,0.3475,0.1085,0.2961,2.56,0.2375,0.125,568,0.222,51900,0.1164,0,0.2624,0
47001020800,2015,4587,1816,0.2594,0.5258,45.9,0.0035,0.0052,0.0033,0.0022,0.5043,0.1707,0.2879,0,0.4526,16369,0.0938,0.2532,0.1138,0.4589,0.134,0.3067,2.46,0.226,0.0942,517,0.1773,79400,0.1487,0,0.2507,0.0275
47001020901,2015,6439,2501,0.2558,0.5009,45.9,0.0025,0,0.0092,0.0037,0.796,0.0632,0.1737,0.0156,0.4094,23892,0.0697,0.1179,0.1118,0.4525,0.0955,0.1759,2.53,0.1396,0.0528,724,0.1499,163900,0.0489,0.0096,0.1543,0.0185
47001020902,2015,5829,2247,0.223,0.5147,43.8,0,0.0034,0,0.007,0.8023,0.1242,0.1285,0.0191,0.3925,24935,0.081,0.1863,0.1155,0.5103,0.1243,0.2301,2.59,0.2681,0.0703,579,0.0872,141700,0.0956,0.005,0.105,0
