GEOID,Year,Total_Pop,Total_HH,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QFHH,QED12LES,QRICH,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QFEMLBR,QUNOCCHU,QRENTER,PPUNIT,QMOHO,QNOAUTO,MDGRENT,QHSEBRDN,MDHSEVAL,QNOHLTH,QESL,QPOVTY,QGROUP
47001980100,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47017980100,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47029980100,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47031980100,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47037980100,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47037980200,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47065980100,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47065980200,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47145980100,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47155980100,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47157980200,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47157980300,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47161980100,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47161980200,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47009980100,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47009980200,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47053980100,2017,21,5,0,0.5238,37.1,0,0,0,0,1,0,0,0,0,-999,0,0,0,0.4545,0,0,4.2,0,0,-999,0,-999,0,0,0,0
47157980100,2017,74,0,0.0541,0.4865,31.3,0.0541,0,0,0,0,0,0.3103,0,0,5896,0,0,0,0,0,0,-999,0,0,-999,0,-999,0.5946,0,0.7838,1
47125980100,2017,277,0,0,0.1191,23.8,0.1986,0,0.0794,0.065,0,0,0,0,0,28101,0,0,0,0,0,0,-999,0,0,-999,0,-999,0,0,0,1
47157980400,2017,603,0,0,0.2272,29.3,0.8226,0,0,0.0282,0,0,0.3805,0,0,4721,0,0,0,0,0,0,-999,0,0,-999,0,-999,0,0.0083,0,1
47025970400,2017,682,292,0.2507,0.5718,50.7,0,0,0,0,1,0.1164,0.3691,0.0103,0.5,17783,0.1928,0.0556,0.2667,0.3722,0.2151,0.1884,2.34,0.3387,0.0514,525,0.1884,60500,0.1466,0,0.2633,0
47157000200,2017,691,353,0.1172,0.547,42.2,0.958,0,0,0,0.0941,0.3484,0.2836,0,0.2776,11615,0.3361,0.2716,0.0535,0.6626,0.2489,0.8244,1.96,0,0.4306,717,0.6686,-999,0.191,0,0.5065,0
47157004500,2017,791,284,0.2288,0.5424,24.6,0.909,0,0,0.0683,0.0707,0.3979,0.2296,0,0.2606,8921,0.2075,0.1548,0.1548,0.5198,0.2447,0.7923,2.65,0,0.3204,590,0.419,75400,0.1087,0,0.6526,0.0493
47157003800,2017,834,635,0.1079,0.3633,45.6,0.6775,0,0.0743,0.012,0,0.022,0.1693,0,0.2913,15071,0.0824,0.2319,0.0522,0.371,0.0916,0.9906,1.18,0,0.6346,-999,0.2016,-999,0.0947,0.0252,0.5301,0.1043
47113001100,2017,851,338,0.1727,0.5018,39.1,0.9941,0,0,0,0.0222,0.3521,0.103,0,0.4408,12503,0.3929,0.3071,0.0124,0.5768,0.2404,0.574,2.52,0,0.3846,538,0.3284,50000,0.2949,0,0.4548,0
47157000300,2017,873,319,0.2394,0.5349,43.1,0.9737,0,0,0.0126,0.038,0.3542,0.2796,0,0.4828,14445,0.1723,0.2727,0.0499,0.5924,0.3312,0.5517,2.74,0,0.3166,777,0.3448,54300,0.1134,0.0048,0.2405,0
47091956000,2017,893,462,0.4166,0.4188,59.7,0,0,0,0.0213,0.6338,0.0498,0.1667,0.0152,0.5844,21288,0.0949,0.1348,0.2846,0.3446,0.1923,0.1905,1.93,0.2098,0.0152,485,0.1342,105600,0.0608,0.0035,0.271,0
47065010902,2017,997,403,0.2287,0.5025,39.4,0,0,0,0.0491,0.697,0.1638,0.0926,0.0546,0.3375,27774,0.1171,0.1438,0.0157,0.4719,0.0473,0.2953,2.47,0.0662,0.1017,608,0.2779,150000,0.2237,0.0093,0.2658,0
47157005800,2017,1003,344,0.1854,0.5503,38.9,0.9651,0,0,0,0,0.3808,0.2713,0,0.3895,12843,0.3093,0.3266,0.0168,0.5455,0.3933,0.6366,2.92,0.0071,0.3895,563,0.4448,46500,0.1854,0,0.5304,0
47037013000,2017,1018,16,0.0796,0.0422,40.2,0.3546,0.0069,0,0.0403,0,1,0.2605,0,0,5701,0,0,0,1,0,0,3,0,0,-999,1,-999,0,0.039,0,0.9528
47157005000,2017,1042,343,0.2917,0.6017,28.9,0.9635,0,0,0,0.0523,0.3936,0.3209,0,0.6327,8747,0.2336,0.2489,0.0472,0.6223,0.2624,0.8105,2.91,0.0108,0.4402,507,0.309,-999,0.1881,0,0.5298,0.0432
47183968000,2017,1069,465,0.2675,0.5304,49.7,0,0,0,0.0037,0.8716,0.0301,0.1671,0,0.4043,22225,0.0814,0.2354,0.1165,0.5797,0.1799,0.1376,2.3,0.1852,0.0688,-999,0.1613,87700,0.0655,0,0.0935,0
47037016000,2017,1077,469,0.1179,0.5274,32.4,0.6574,0,0,0.0641,0.5146,0.2111,0.1783,0,0.162,19641,0.0689,0.1893,0.0568,0.4854,0.0963,0.8209,2.26,0.0424,0.2772,777,0.2772,119600,0.195,0,0.3045,0.0176
47053966800,2017,1162,489,0.2737,0.4621,45,0.0379,0,0.0069,0,0.9408,0.0777,0.1657,0.0164,0.4499,23170,0.0785,0.1267,0.1822,0.3762,0.1077,0.1493,2.38,0.0967,0.0225,584,0.1677,105000,0.0606,0,0.0243,0
47053967300,2017,1188,452,0.2155,0.4891,43.3,0,0.037,0.0025,0.0101,0.7718,0.1836,0.0792,0,0.3982,23264,0.0449,0.1049,0.0669,0.4665,0.1782,0.1681,2.63,0.12,0.0332,608,0.0907,94000,0.1246,0.0027,0.0422,0
47065002300,2017,1194,452,0.206,0.4648,34.5,0.4581,0,0,0.237,0.5508,0.3274,0.4155,0,0.3584,13350,0.2428,0.1507,0.3503,0.3864,0.2814,0.6084,2.64,0.0461,0.2035,718,0.3916,54900,0.3216,0.1781,0.3878,0
47165020206,2017,1194,467,0.3007,0.4698,44.1,0.0067,0.005,0.0419,0.0142,0.707,0.0685,0.1951,0.0278,0.4668,36261,0.0501,0.2335,0.1073,0.452,0.0861,0.1842,2.56,0.0802,0.015,916,0.1756,172700,0.0662,0.0101,0.1591,0
47065002000,2017,1199,691,0.1668,0.5271,36.2,0.3303,0,0.0242,0.0292,0.701,0.0145,0.1939,0.0376,0.275,32858,0.0259,0.2611,0.0051,0.5387,0.113,0.6975,1.74,0,0.3126,646,0.2923,249300,0.0826,0.0312,0.2777,0
47125100100,2017,1203,400,0.0324,0.419,27.8,0.1796,0,0,0.1147,0.6944,0.0225,0.1541,0.0175,0.0325,16516,0.0538,0.3791,0.1043,0.41,0.2381,0.8425,1.83,0.0171,0.1975,768,0.11,154300,0.2793,0.0067,0.4411,0.3932
47131965900,2017,1222,553,0.3011,0.5663,47.3,0.0835,0.0074,0.0098,0.0115,0.8465,0.1591,0.1326,0.009,0.425,21432,0.0932,0.1107,0.1304,0.4111,0.0721,0.2929,2.21,0.1275,0.0524,656,0.1284,72400,0.1023,0.0079,0.2242,0
47157003700,2017,1225,794,0.2963,0.5192,41.7,0.6506,0,0.0294,0.0269,0,0.1045,0.2107,0.0063,0.3753,15967,0.0235,0.1587,0.0096,0.6298,0.1738,0.9962,1.46,0,0.4471,630,0.3363,-999,0.1651,0.0155,0.4572,0.0555
47157004600,2017,1264,652,0.1843,0.5696,38.3,0.8481,0,0.0032,0,0.1603,0.1963,0.2844,0.0031,0.2669,18592,0.0923,0.2017,0.045,0.565,0.221,0.8972,1.88,0,0.2975,712,0.3451,-999,0.1851,0.0136,0.3813,0.0285
47157020400,2017,1270,323,0.1598,0.4024,24.5,0.2134,0,0.0937,0.1055,0.9233,0.0372,0.0707,0.0186,0.1176,22608,0.1383,0.2222,0.1152,0.4897,0.0927,0.9412,3.25,0.0253,0.0464,1282,0.161,-999,0.072,0.0299,0.0133,0.174
47157001900,2017,1276,518,0.1787,0.5133,43.4,0.9929,0,0,0.0047,0.0544,0.278,0.2222,0,0.3938,14447,0.1324,0.1836,0.0996,0.4934,0.3476,0.3649,2.44,0.0101,0.2741,663,0.3571,38500,0.2265,0.0162,0.1904,0.0086
47125100700,2017,1299,546,0.2571,0.4773,45,0.2571,0.0123,0.0162,0.1501,0.6211,0.1813,0.1305,0.0421,0.348,25898,0.0586,0.2226,0.0573,0.4223,0.2006,0.4597,2.38,0.0088,0.1319,757,0.2381,151400,0.1026,0.0049,0.2764,0
47157011020,2017,1323,536,0.1262,0.4263,35.4,0.7816,0,0,0.1036,0.2597,0.278,0.2236,0.0093,0.2332,19102,0.0785,0.1378,0.1362,0.4056,0.5339,0.4515,2.47,0,0.1175,817,0.2575,77200,0.133,0.0525,0.2026,0
47037014400,2017,1365,696,0.1538,0.5597,27.4,0.6469,0,0.0725,0.0513,0.0919,0.2184,0.1712,0,0.181,18057,0.07,0.2335,0.0138,0.5146,0.0794,0.9569,1.93,0,0.3261,692,0.2443,203100,0.1348,0.0484,0.385,0.0161
47157011300,2017,1372,724,0.0751,0.5095,37.2,0.7478,0,0.019,0.0219,0,0.1188,0.2251,0.0028,0.2169,17260,0.2231,0.1988,0.0201,0.4739,0.2044,0.8577,1.65,0.0066,0.4351,622,0.3425,44400,0.2069,0.0142,0.509,0.1297
47157011700,2017,1418,532,0.3096,0.5254,41.5,0.9774,0,0,0,0.0883,0.2932,0.2463,0,0.2199,13111,0.2793,0.2821,0.0997,0.4501,0.1988,0.547,2.41,0,0.1898,522,0.218,81300,0.1519,0.0031,0.4634,0.0945
47139950100,2017,1420,645,0.25,0.5056,46.7,0,0.0092,0,0,0.8157,0.0651,0.191,0.0543,0.4186,24368,0.0838,0.2511,0.1809,0.517,0.2017,0.1147,2.2,0.2797,0.0078,692,0.1845,106900,0.1169,0.0111,0.1944,0
47061955100,2017,1438,540,0.3428,0.5341,53.9,0.0153,0,0,0,0.619,0.1296,0.1163,0.0352,0.4667,22968,0.0243,0.2165,0.1264,0.4904,0.3478,0.2074,2.41,0.1606,0.013,751,0.1111,155800,0.1152,0,0.1495,0.0953
